title,link,date
Louis Armando Peña Soltren Arrested in 1968 Hijacking - The New York Times,https://www.nytimes.com/2009/10/12/nyregion/12hijack.html,"Mon, 12 Oct 2009 07:00:00 GMT"
"In New York, Woman Is Arrested in Death of Holocaust Survivor - The New York Times",https://www.nytimes.com/2009/08/04/nyregion/04holocaust.html,"Mon, 03 Aug 2009 07:00:00 GMT"
Suspects in Terror Bombing Plot: Drug Arrests and Prison Conversions (Published 2009) - The New York Times,https://www.nytimes.com/2009/05/22/nyregion/22suspects.html,"Thu, 21 May 2009 07:00:00 GMT"
"Video Stirs a Memory, Leading to an Arrest (Published 2008) - The New York Times",https://www.nytimes.com/2008/08/22/nyregion/22arrest.html,"Thu, 21 Aug 2008 07:00:00 GMT"
Justices Rule Police Do Not Have a Constitutional Duty to Protect Someone (Published 2005) - The New York Times,https://www.nytimes.com/2005/06/28/politics/justices-rule-police-do-not-have-a-constitutional-duty-to-protect.html,"Tue, 28 Jun 2005 07:00:00 GMT"
Bush Weighed Using Military in Arrests - The New York Times,https://www.nytimes.com/2009/07/25/us/25detain.html,"Fri, 24 Jul 2009 07:00:00 GMT"
Schoolteacher Arrested in JonBenet Ramsey Case - The New York Times,https://www.nytimes.com/2006/08/17/us/17jonbenet.html,"Thu, 17 Aug 2006 07:00:00 GMT"
3 Arrested on Charges In UConn Player Death - The New York Times,https://www.nytimes.com/2009/10/28/sports/ncaafootball/28uconn.html,"Tue, 27 Oct 2009 07:00:00 GMT"
"In Buffalo, Detectives Celebrate Arrest in a Cold Case After Many Years of Frustration (Published 2007) - The New York Times",https://www.nytimes.com/2007/01/21/nyregion/21buffalo.html,"Sun, 21 Jan 2007 08:00:00 GMT"
Coolio Is Arrested - The New York Times,https://www.nytimes.com/2009/03/09/arts/music/09arts-COOLIOISARRE_BRF.html,"Sun, 08 Mar 2009 08:00:00 GMT"
Obama Wades Into a Volatile Racial Issue - The New York Times,https://www.nytimes.com/2009/07/23/us/23race.html,"Thu, 23 Jul 2009 07:00:00 GMT"
"A Tip-Off, a Reward, an Arrest for Pigeon Poaching - The New York Times",https://cityroom.blogs.nytimes.com/2008/07/02/a-tip-off-a-reward-an-arrest-for-pigeon-poaching/,"Wed, 02 Jul 2008 07:00:00 GMT"
Lawyer Is Accused in Massive Hedge Fund Fraud (Published 2008) - The New York Times,https://www.nytimes.com/2008/12/09/nyregion/09lawyer.html,"Mon, 08 Dec 2008 08:00:00 GMT"
Lohan's Arrest Spells Trouble for 2 Movies - The New York Times,https://www.nytimes.com/2007/07/25/business/media/25sony.html,"Wed, 25 Jul 2007 07:00:00 GMT"
Obama Criticizes Arrest of Harvard Professor - The New York Times,https://www.nytimes.com/2009/07/23/us/politics/23gates.html,"Wed, 22 Jul 2009 07:00:00 GMT"
An Inwood Apartment With a Past - The New York Times,https://www.nytimes.com/2009/05/16/nyregion/16inwood.html,"Fri, 15 May 2009 07:00:00 GMT"
Police Impersonator's Arrest Stuns Missouri Town - The New York Times,https://www.nytimes.com/2008/07/01/us/01impostor.html,"Tue, 01 Jul 2008 07:00:00 GMT"
Arrest in a 30-Year-Old Murder Case Reignites the Pain of a Victim's Family (Published 2006) - The New York Times,https://www.nytimes.com/2006/08/23/nyregion/23cold.html,"Wed, 23 Aug 2006 07:00:00 GMT"
Chief Agrees to Resign From HBO After Arrest (Published 2007) - The New York Times,https://www.nytimes.com/2007/05/10/arts/television/10hbo.html,"Thu, 10 May 2007 07:00:00 GMT"
Canada Arrests Worker Aiding Refugees - The New York Times,https://www.nytimes.com/2007/09/29/us/29immig.html,"Sat, 29 Sep 2007 07:00:00 GMT"
New Suspect Is Arrested in 2 Mississippi Killings - The New York Times,https://www.nytimes.com/2008/02/08/us/08dna.html,"Fri, 08 Feb 2008 08:00:00 GMT"
6 Men Arrested in a Terror Plot Against Fort Dix (Published 2007) - The New York Times,https://www.nytimes.com/2007/05/09/us/09plot.html,"Wed, 09 May 2007 07:00:00 GMT"
History of Legal Tangles for Raj Rajaratnam and Galleon - The New York Times,https://www.nytimes.com/2009/11/02/business/02insider.html,"Sun, 01 Nov 2009 07:00:00 GMT"
Big Mob Sweep Nets Gambino Hierarchy - The New York Times,https://www.nytimes.com/2008/02/07/nyregion/07cnd-mob.html,"Thu, 07 Feb 2008 08:00:00 GMT"
11 Con Ed Supervisors Arrested on Kickback Charges - The New York Times,https://www.nytimes.com/2009/01/15/nyregion/15coned.html,"Wed, 14 Jan 2009 08:00:00 GMT"
Man Is Arrested in Death of Brooklyn Bus Driver (Published 2008) - The New York Times,https://www.nytimes.com/2008/12/03/nyregion/03arrest.html,"Tue, 02 Dec 2008 08:00:00 GMT"
"Paul Bentley, 87, Dies; Detective Arrested Oswald - The New York Times",https://www.nytimes.com/2008/07/25/us/25bentley.html,"Fri, 25 Jul 2008 07:00:00 GMT"
Yankees' Swindal Is Arrested in Florida - The New York Times,https://www.nytimes.com/2007/02/16/sports/baseball/16swindal.html,"Fri, 16 Feb 2007 08:00:00 GMT"
7 Charged With Falsifying Documents for Building Projects - The New York Times,https://www.nytimes.com/2009/11/25/nyregion/25testing.html,"Tue, 24 Nov 2009 08:00:00 GMT"
Two Brothers Face Charges in String of Manhattan Bank Robberies - The New York Times,https://www.nytimes.com/2009/04/03/nyregion/03robberies.html,"Thu, 02 Apr 2009 07:00:00 GMT"
Hundreds Arrested in Raids on Mexican Drug Cartel - The New York Times,https://www.nytimes.com/2009/10/23/us/23bust.html,"Thu, 22 Oct 2009 07:00:00 GMT"
Border Agents Say They Had Arrest Quotas - The New York Times,https://www.nytimes.com/2009/02/02/us/02border.html,"Sun, 01 Feb 2009 08:00:00 GMT"
DNA Match Leads to Arrest in 25-Year-Old Murder Case (Published 2007) - The New York Times,https://www.nytimes.com/2007/03/23/nyregion/23solve.html,"Fri, 23 Mar 2007 07:00:00 GMT"
2 Men Arrested in 'Serial Shooter' Killings in Phoenix - The New York Times,https://www.nytimes.com/2006/08/05/us/05serial.html,"Sat, 05 Aug 2006 07:00:00 GMT"
Police Persistence Pays Off in Arrest in 1972 Case - The New York Times,https://www.nytimes.com/2008/11/23/nyregion/westchester/23fugitivewe.html,"Fri, 21 Nov 2008 08:00:00 GMT"
Arrests of 31 in U.S. Sweep Bring Fear in New Haven (Published 2007) - The New York Times,https://www.nytimes.com/2007/06/08/nyregion/08haven.html,"Fri, 08 Jun 2007 07:00:00 GMT"
Director Joseph Brooks Accused of Raping Actresses - The New York Times,https://www.nytimes.com/2009/06/24/nyregion/24brooks.html,"Tue, 23 Jun 2009 07:00:00 GMT"
"'Preppy Killer' at 19, Accused of Drug Sales at 41 - The New York Times",https://www.nytimes.com/2007/10/24/nyregion/24chambers.html,"Wed, 24 Oct 2007 07:00:00 GMT"
Graham Sentenced to Year's House Arrest in Balco Case (Published 2008) - The New York Times,https://www.nytimes.com/2008/10/22/sports/othersports/22graham.html,"Tue, 21 Oct 2008 07:00:00 GMT"
Siemens Executive Arrested - The New York Times,https://www.nytimes.com/2007/03/28/business/worldbusiness/28siemens.html,"Wed, 28 Mar 2007 07:00:00 GMT"
Man Sought in 6 Deaths Is Arrested in New York (Published 2007) - The New York Times,https://www.nytimes.com/2007/08/28/us/28texas.html,"Tue, 28 Aug 2007 07:00:00 GMT"
126 New Yorkers Arrested in Unemployment Fraud - The New York Times,https://www.nytimes.com/2008/10/29/nyregion/29benefits.html,"Tue, 28 Oct 2008 07:00:00 GMT"
Astronaut Is Charged With Kidnapping - The New York Times,https://www.nytimes.com/2007/02/06/us/06astro.html,"Tue, 06 Feb 2007 08:00:00 GMT"
"'The Forbidden Apple,' by Kat Long - The New York Times",https://www.nytimes.com/2009/04/05/books/chapters/chapter-forbidden-apple.html,"Fri, 03 Apr 2009 07:00:00 GMT"
